,gene_pair,A1,A2,ols_p,ols_coef,n_A2_lost,A2_lost_mean_quant_A1,A2_other_mean_quant_A1,p_adj,compensation,collateral_loss,sorted_gene_pair,bronze_standard_SL,strict_comb_hit,lenient_comb_hit,in_PC_CORUM,in_PC_CORUM_essential,in_PC_CORUM_both,in_PC_EBI,in_PC_humap,closest_pair,famsize2,other_dir_comp,other_dir_cl,dataset,FDR_threshold
1641,NT5DC3_NT5C2,NT5DC3,NT5C2,0.007712743707050734,0.15595452990659536,149,23.659645575045,23.29156539392989,0.0385373485866369,True,False,NT5C2_NT5DC3,,,,False,False,False,False,True,False,False,,,pancan,0.05
1642,NT5DC2_NT5C2,NT5DC2,NT5C2,3.376521421711415e-07,0.24334376928824789,149,23.084174395817215,22.83006961348409,1.679714407907175e-05,True,False,NT5C2_NT5DC2,False,,,False,False,False,False,True,False,False,,,pancan,0.05
1643,DVL3_DVL1,DVL3,DVL1,0.8886577406641323,-0.005418703083161613,52,23.070500764351145,22.85114415395382,0.9403429086858185,False,False,DVL1_DVL3,,False,False,True,False,False,False,True,False,False,,,pancan,0.05
1644,DVL2_DVL1,DVL2,DVL1,0.3556617244104259,0.03603646423560779,54,23.83218565026943,23.643219374014134,0.5479469669837522,False,False,DVL1_DVL2,False,,,True,False,False,False,True,False,False,False,False,pancan,0.05
1645,DVL3_DVL2,DVL3,DVL2,0.41842873356246757,-0.02006558081325784,142,22.627795615845077,22.938826700750813,0.606409788637045,False,False,DVL2_DVL3,False,,,True,False,False,False,True,True,False,,,pancan,0.05
1646,DVL1_DVL2,DVL1,DVL2,0.3948996317056559,-0.029761726708536718,114,21.819385683118977,21.92963558351672,0.5844658143476803,False,False,DVL1_DVL2,False,,,True,False,False,False,True,False,False,False,False,pancan,0.05
1647,S100A4_S100B,S100A4,S100B,0.142830219219463,-0.11298469648228071,78,29.227274678391048,29.190164956523343,0.3080366071471011,False,False,S100A4_S100B,,,,False,False,False,False,False,False,False,,,pancan,0.05
1648,S100A11_S100B,S100A11,S100B,0.02607343426782929,0.14597847607386427,78,30.976178564195617,30.573391246292708,0.09356123152823582,False,False,S100A11_S100B,False,,,False,False,False,False,False,False,False,,,pancan,0.05
1649,S100A6_S100B,S100A6,S100B,0.4047155649461962,-0.06393129177168788,78,30.2372081758275,30.378597120685672,0.5932211041775067,False,False,S100A6_S100B,False,,,True,False,False,False,False,False,False,,,pancan,0.05
1650,S100A10_S100B,S100A10,S100B,0.2119124233520146,-0.07586798394248184,78,29.028972519322032,28.807511218159007,0.3964821953269133,False,False,S100A10_S100B,False,,,True,False,False,True,True,False,False,,,pancan,0.05
